# WW3MOD lint baseline — the known-bad floor for `./utility.sh --check-yaml` (`make test`).
#
# HOW IT IS READ. Every error the lint emits is reduced to a signature of the form
# `<scope> | <first line of the message>`, where <scope> is the map's package folder name, or `mod` for
# the mod-wide passes. A signature listed here does not fail the run. A signature NOT listed here does.
#
# HOW TO CHANGE IT. Lowering is automatic, raising is not, and that asymmetry is the whole point:
#   * You fixed something -> the run tells you which entries no longer occur and fails until you drop
#     them. Re-run with LINT_BASELINE_PRUNE=true to remove them, and commit this file with your fix.
#     The prune path can only REMOVE lines from [repo]; it can never add one.
#   * You hit a NEW error -> the correct move is to fix it. Adding a line here is a deliberate act that
#     shows up as an added line in review; if you add one, say in the commit message why it is acceptable.
#
# SECTIONS.
#   [repo]                 Errors this repository owns. Reproducible on any checkout, so an entry that
#                          stops occurring means it was FIXED — the run enforces that this list shrinks.
#                          THIS is the number that is supposed to fall. Everything else here is noise.
#   [requires-ra-content]  Only occur where the Red Alert content is not installed. `mods/ww3mod/mod.yaml`
#                          mounts `~^SupportDir|Content/ra/v2/`, downloaded at first run; the CI runner
#                          never installs it, so every RA sprite reads as missing there and none of these
#                          appear on a developer machine that has run the game. They are matched but never
#                          required, so both environments pass. They are NOT defects and NOT lint debt:
#                          installing content in CI would delete this entire section at a stroke.
#
# Captured 2026-08-17 from CI run 31981227086 (the last completed run before this file existed), which
# reported `Errors: 437` = 82 [repo] + 355 [requires-ra-content]. That 437 is quoted in several WORKSPACE
# documents as though it were a defect count; 82 is the defect count, and 62 of the 82 are one class
# (scenario maps with no cordon) in one place.

[repo]
# PENDING A DECISION, NOT ACCEPTED — the two entries below are what CheckChromeIntegerExpressions found
# when the unregistered-symbol rule was added (2026-08-17). They are recorded here only so the floor could
# be established in the same commit as the rule. Both are in the HPF debug overlay and both are latent:
# PARENT_TOP resolves to 0, and 0 is what a parent-relative Y meant anyway. Fix them and prune these lines.
mod | Unknown widget substitution symbol `PARENT_TOP` in ww3mod|chrome/ingame-player.yaml (`Y: PARENT_TOP`). It is not registered anywhere and evaluates to 0 with no warning. Registered here: WINDOW_WIDTH, WINDOW_HEIGHT, PARENT_WIDTH, PARENT_HEIGHT, WIDTH, HEIGHT, DROPDOWN_WIDTH.
mod | Unknown widget substitution symbol `PARENT_TOP` in ww3mod|chrome/ingame-player.yaml (`Y: PARENT_TOP + 35`). It is not registered anywhere and evaluates to 0 with no warning. Registered here: WINDOW_WIDTH, WINDOW_HEIGHT, PARENT_WIDTH, PARENT_HEIGHT, WIDTH, HEIGHT, DROPDOWN_WIDTH.
demo-experimental-capture-coordinator | Actor `OpponentSR` is owned by unknown player `Russia-bot`.
demo-experimental-capture-coordinator | Actor `OwnSR` is owned by unknown player `USA-bot`.
demo-experimental-capture-coordinator | The player `Russia-bot (Normal)` enemy list contains an invalid player `USA-bot`.
demo-experimental-capture-coordinator | The player `USA-bot (experimental)` enemy list contains an invalid player `Russia-bot`.
demo-experimental-capture-coordinator | This map does not define a valid cordon.
demo-layered-defence | This map does not define a valid cordon.
demo-tactical-positioning | This map does not define a valid cordon.
mod | Lint pass (CheckFluentReferences) lacks the know-how to test translatable field `ResourceTypeInfo.Name` - previous warnings may be incorrect
test-aa-breakoff-critical | Actor type `halo` consumes conditions that are not granted: crash-disabled, autorotation, crash-landing, rotor-stopped.
test-aa-overkill-cadence | Actor type `halo` consumes conditions that are not granted: crash-disabled, autorotation, crash-landing, rotor-stopped.
test-aa-overkill-pump | Actor type `halo` consumes conditions that are not granted: crash-disabled, autorotation, crash-landing, rotor-stopped.
test-cohesion-river-zeta-actual | The player `Multi0` must specify LockFaction: True.
test-cohesion-river-zeta-actual | The player `Multi1` must specify LockFaction: True.
test-cohesion-river-zeta-actual | The player `Multi2` must specify LockFaction: True.
test-cohesion-river-zeta-actual | The player `Multi3` must specify LockFaction: True.
test-cohesion-river-zeta-actual | The player `Multi4` must specify LockFaction: True.
test-cohesion-river-zeta-actual | The player `Multi5` must specify LockFaction: True.
test-cohesion-river-zeta-actual | This map does not define a valid cordon.
test-combined-arms-rendezvous | This map does not define a valid cordon.
test-crate-rearm | The map allows 2 possible players, but defines only 1 spawn points.
test-crate-rearm | This map does not define a valid cordon.
test-crate-targetable | This map does not define a valid cordon.
test-edge-spawn-shadow | This map does not define a valid cordon.
test-experimental-poi-capture | This map does not define a valid cordon.
test-experimental-poi-harness | This map does not define a valid cordon.
test-experimental-poi-observe | Actor `OpponentSR` is owned by unknown player `Russia-bot`.
test-experimental-poi-observe | Actor `OwnSR` is owned by unknown player `USA-bot`.
test-experimental-poi-observe | The player `Russia-bot (Normal)` enemy list contains an invalid player `USA-bot`.
test-experimental-poi-observe | The player `USA-bot (experimental)` enemy list contains an invalid player `Russia-bot`.
test-experimental-poi-observe | This map does not define a valid cordon.
test-ferry-fills-seats | This map does not define a valid cordon.
test-field-crate-drop | This map does not define a valid cordon.
test-field-heli-unload | This map does not define a valid cordon.
test-frontline-reachability | This map does not define a valid cordon.
test-heli-squad-forms | This map does not define a valid cordon.
test-infantry-seek-supplies | The map allows 2 possible players, but defines only 1 spawn points.
test-infantry-seek-supplies | This map does not define a valid cordon.
test-offense-ammo-guard | This map does not define a valid cordon.
test-savegame-resume-riverzeta | This map does not define a valid cordon.
